Name,ParentName,Length_cm,Radius_cm,Thickness_cm,YoungsModulus_MPa
Left Brachial artery 1,Left Axillary artery 2,6.3,0.28,0.055,0.4
Right Vertebral artery,Brachiocephalic artery,14.8,0.19,0.045,0.8
Right External carotid,Right Internal carotid 1,11.8,0.15,0.042,0.8
Right Brachial artery 2,Right Brachial artery 1,6.3,0.26,0.053,0.4
Right Posteriortibial artery 2,Right Posteriortibial artery 1,16.1,0.18,0.045,1.6
Right Internal carotid 2,Right Internal carotid 1,5.9,0.13,0.039,0.8
Left Internal carotid 2,Left Internal carotid 1,5.9,0.13,0.039,0.8
Left Cerebral artery,Left External carotid,5.9,0.08,0.026,1.6
Left Brachial artery 4,Left Brachial artery 3,4.6,0.24,0.05,0.4
Intercostal arteries,Left Subclavian artery 1,8,0.15,0.035,0.4
Left Ulnar artery 3,Left Ulnar artery 2,8.5,0.19,0.046,0.8
Right Brachial artery 1,Right Axillary artery 2,6.3,0.28,0.055,0.4
Left Femoral artery 1,Left External iliac 2,12.7,0.24,0.05,0.8
Left Brachial artery 3,Left Brachial artery 2,6.3,0.25,0.052,0.4
Left Subclavian artery 1,Aortic arch 1,3.4,0.42,0.067,0.4
Right Axillary artery 1,Right Subclavian artery,6.1,0.36,0.062,0.4
Thoracic aorta 3,Thoracic aorta 2,5.2,0.66,0.116,0.4
Right Popliteal artery 1,Right Femoral artery 2,9.4,0.2,0.047,0.8
Left External iliac 2,Left External iliac 1,6.1,0.27,0.053,0.4
Left Internal iliac,Left Common iliac,5,0.2,0.04,1.6
Right Radial artery 1,Right Brachial artery 4,11.7,0.16,0.043,0.8
Right Anteriortibial artery 1,Right Popliteal artery 2,2.5,0.13,0.039,1.6
Right Anteriortibial artery 3,Right Anteriortibial artery 2,15,0.1,0.02,1.6
Left Ulnar artery 1,Left Brachial artery 4,6.7,0.21,0.049,0.8
Thoracic aorta 1,Aortic arch 2,5.2,1,0.12,0.4
Brachiocephalic artery,Aortic arch 1,3.4,0.62,0.086,0.4
